Person/Group,ulan
https://data.getty.edu/provenance/b03f45c4-e0c5-3561-b84e-69a1cb9dd29b,http://vocab.getty.edu/ulan/500444366
https://data.getty.edu/provenance/966cae6f-0dba-32be-80e6-f08694cb8e4d,http://vocab.getty.edu/ulan/500444667
https://data.getty.edu/provenance/2bf2118a-8a6c-39b2-8474-018b18e240e9,http://vocab.getty.edu/ulan/500443205
https://data.getty.edu/provenance/103856d9-a108-3a53-8f5d-62665cc0b647,http://vocab.getty.edu/ulan/500304347
https://data.getty.edu/provenance/bc3c7aa5-fb6e-38fe-9ab6-c70911be4bac,http://vocab.getty.edu/ulan/500435424
https://data.getty.edu/provenance/9f79ff8a-e0c4-3427-b819-ebbd605f4e61,http://vocab.getty.edu/ulan/500445653
https://data.getty.edu/provenance/29b98536-6053-3c13-9015-ad3019a0e308,http://vocab.getty.edu/ulan/500408184
https://data.getty.edu/provenance/3503f526-3dcc-3ce4-9531-5f94a5f281f5,
https://data.getty.edu/provenance/46d4178d-7cb5-35fb-8aa3-c393c7845875,http://vocab.getty.edu/ulan/500410536
https://data.getty.edu/provenance/22c03aa7-72fd-34ac-a969-b9ae98efab20,http://vocab.getty.edu/ulan/500293957
https://data.getty.edu/provenance/1b08efcb-480b-39cd-a722-d51a01c62779,http://vocab.getty.edu/ulan/500302990
https://data.getty.edu/provenance/6ea773b2-f7ce-3e46-b4d4-55203e04a474,http://vocab.getty.edu/ulan/500444839
https://data.getty.edu/provenance/ce3adadd-d76b-3d44-bef9-7442dd46bbe6,http://vocab.getty.edu/ulan/500444368
https://data.getty.edu/provenance/23fafee3-5201-3986-b9eb-0f3951cff995,http://vocab.getty.edu/ulan/500449627
https://data.getty.edu/provenance/96b7811d-942c-3963-8541-d04240ac122e,http://vocab.getty.edu/ulan/500445469
https://data.getty.edu/provenance/872b5b26-a9a4-33ce-965f-6b76f241f11a,http://vocab.getty.edu/ulan/500446324
https://data.getty.edu/provenance/96c88203-511b-307c-80c0-760fb8895b13,http://vocab.getty.edu/ulan/500434815
https://data.getty.edu/provenance/6f7e4ee1-0af5-3cbc-af12-0d00b0b4af6f,http://vocab.getty.edu/ulan/500434176
https://data.getty.edu/provenance/49e4e931-b75d-34bb-b6c8-1295485f6cf8,
https://data.getty.edu/provenance/4e36a176-8711-359b-9ee2-83d2ee0dcad6,http://vocab.getty.edu/ulan/500400704
https://data.getty.edu/provenance/7afd2a4e-7dfe-3041-b0ac-333001ebbb95,http://vocab.getty.edu/ulan/500232672
https://data.getty.edu/provenance/a2f07dc2-2b57-3922-a03c-19eda58fd1be,http://vocab.getty.edu/ulan/500448235
https://data.getty.edu/provenance/c27e730d-0c2b-35b3-95dd-83b4487cf8b7,http://vocab.getty.edu/ulan/500448981
https://data.getty.edu/provenance/53bd5665-64c8-356e-b8f0-f4ea070348b2,http://vocab.getty.edu/ulan/500446123
https://data.getty.edu/provenance/16987498-48a5-3b83-a741-c59c06f3fa82,
https://data.getty.edu/provenance/388a726f-9076-3471-b8ad-f234333494a9,http://vocab.getty.edu/ulan/500446346
https://data.getty.edu/provenance/1a8b5b9a-78a4-3258-85c0-75eb343ee548,
https://data.getty.edu/provenance/e50ed1b4-6aea-3d36-bf38-3c23863e1126,http://vocab.getty.edu/ulan/500409261
https://data.getty.edu/provenance/3fc9c94a-d730-3cf7-8bd8-d40cb7b4544c,http://vocab.getty.edu/ulan/500447929
https://data.getty.edu/provenance/10502725-a4dc-3397-986f-3ce8fdea8417,http://vocab.getty.edu/ulan/500443188
https://data.getty.edu/provenance/d7afba05-fe99-3b1a-91f6-dcfd488768a8,http://vocab.getty.edu/ulan/500446959
https://data.getty.edu/provenance/386d32ce-b9b5-3d09-9f42-c8f9799b7369,
https://data.getty.edu/provenance/1e10b055-0690-3bdb-80cd-343f29432b67,http://vocab.getty.edu/ulan/500444515
https://data.getty.edu/provenance/6e2e559a-f6af-3b93-8656-30b6d459f08c,http://vocab.getty.edu/ulan/500444605
https://data.getty.edu/provenance/23e4f099-310b-318a-9c65-8909715f124c,
https://data.getty.edu/provenance/b8f6a08d-d1d6-3200-99e5-00fc74690dcf,http://vocab.getty.edu/ulan/500449205
https://data.getty.edu/provenance/2e6d4f6f-e73b-3c68-9d2d-8d99866b8c31,http://vocab.getty.edu/ulan/500449052
https://data.getty.edu/provenance/1bdb1e84-b1e9-3b8d-b43b-346fbdc9100e,http://vocab.getty.edu/ulan/500436980
https://data.getty.edu/provenance/4d984948-efdb-372e-a0a7-09c45c2e2fd8,http://vocab.getty.edu/ulan/500444698
