STAR Record No.,PI Record No.,Stock Book No.,Knoedler Number,Page Number,Row Number,Consign. No.,Consign. Name,Consign. Auth,Consign. Loc.,Artist Name 1,Art. Authority 1,Nationality 1,Attrib Mod 1,Attrib Mod Auth1,Artist Name 2,Art. Authority 2,Nationality 2,Attrib Mod 2,Attrib Mod Auth2,Title,Description,Subject,Genre,Object Type,Materials,Dimensions,Entry Date-Year,Entry Date-Month,Entry Date-Day,Sale Date-Year,Sale Date-Month,Sale Date-Day,Purch. Amount,Purch. Currency,Purch. Note,KnoedPurch Amt.,KnoedPurch Curr.,KnoedPurch Note,Price Amount,Price Currency,Price Note,KnoedSale Amt.,KnoedSale Curr.,KnoedSale Note,Seller Name 1,Seller Loc 1,Sell Auth Name 1,Sell Auth Loc 1,Sell Auth Mod 1,Seller Name 2,Seller Loc 2,Sell Auth Name 2,Sell Auth Loc 2,Sell Auth Mod 2,Seller Name 3,Seller Loc 3,Sell Auth Name 3,Sell Auth Loc 3,Sell Auth Mod 3,Joint Own 1,Joint Own Auth 1,Joint Own Sh 1,Joint Own 2,Joint Own Auth 2,Joint Own Sh 2,Joint Own 3,Joint Own Auth 3,Joint Own Sh 3,Transaction,Buyer Name 1,Buyer Loc 1,Buy Auth Name 1,Buy Auth Addr 1,Buy Auth Mod 1,Buyer Name 2,Buyer Loc 2,Buy Auth Name 2,Buy Auth Addr 2,Buy Auth Mod 2,Folio,prev own 1,prev own auth1,prev own loc1,prev own 2,prev own auth2,prev own loc2,prev own 3,prev own auth3,prev own loc3,prev own 4,prev own auth4,prev own loc4,prev own 5,prev own auth5,prev own loc5,prev own 6,prev own auth6,prev own loc6,prev own 7,prev own auth7,prev own loc7,prev own 8,prev own auth8,prev own loc8,prev own 9,prev own auth9,prev own loc9,post owner,post own auth,Present Loc Geog,Present Loc Inst,Present Loc Acc,Activity URL,Object URL,Buyer URL,Buyer ULAN ID,Buyer WD Image URL,Buyer WD Entity URL,Artist URL,Artist ULAN ID,Artist WD Image URL,Artist WD Entity URL,Present Loc Note,Working Note,Verbatim Notes,Rosetta Handle,Main Heading,Subheading,Flag
46088,K-2333,4.0,7634,191.0,41.0,NA,NA,NA,NA,Cazin,"CAZIN, JEAN CHARLES",French,NA,NA,NA,NA,NA,NA,NA,Cottages,NA,NA,Landscape,Painting,NA,NA,1894.0,9.0,21.0,1894.0,10.0,1.0,4000.0,francs,NA,NA,NA,NA,1300.0,dollars,NA,NA,NA,NA,MK & Co Paris,NA,Knoedler's,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sold,W.R. Wilson,Boston,"Wilson, William R.","117 Newbury St., Boston, MA, USA",NA,NA,NA,NA,NA,NA,80.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boston, MA, USA",Museum of Fine Arts Boston,15.882,https://data.getty.edu/provenance/1e14c7dc-e04b-3bca-b13a-35370c58c893,https://data.getty.edu/provenance/c80b8887-d465-3933-a16b-ad59a1b290a7,https://data.getty.edu/provenance/21c0f208-859d-3f4f-88e3-54bc912a40b9,http://vocab.getty.edu/ulan/500443747,,,https://data.getty.edu/provenance/c0abdf87-5feb-3947-b070-1d2207dd793c,http://vocab.getty.edu/ulan/500002204,http://commons.wikimedia.org/wiki/Special:FilePath/Art%20and%20criticism%20-%20monographs%20and%20studies%20%281892%29%20%2814781489061%29.jpg,http://www.wikidata.org/entity/Q2778951,as Cottage in the Dunes,NA,NA,http://hdl.handle.net/10020/2012m54_fl4155575,New York September 24th 1894,NA,NA
47816,K-4061,3.0,2933,129.0,14.0,NA,NA,NA,NA,J.P. Laurencs,"LAURENS, JEAN PAUL",French,NA,NA,NA,NA,NA,NA,NA,Honorius,NA,NA,History,Painting,NA,NA,1880.0,9.0,27.0,1880.0,10.0,13.0,15000.0,francs,NA,NA,NA,NA,3359.05,dollars,NA,NA,NA,NA,Goupil & C. Paris,NA,Goupil et Cie.,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sold,Chr. Herter,City,Herter Brothers,"Herter Bros. [321 Fifth Ave.], New York, NY, USA",NA,NA,NA,NA,NA,NA,121.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Norfolk, VA, USA",Chrysler Museum of Art,71.671,https://data.getty.edu/provenance/e8b03353-020c-305b-ae8e-12fe5e7d8884,https://data.getty.edu/provenance/eb31f83b-41a8-3ba8-b56d-6d79d56fd549,https://data.getty.edu/provenance/c0714ba4-122d-32ef-95f1-41d4d17ac4a7,http://vocab.getty.edu/ulan/500447908,,,https://data.getty.edu/provenance/6748d886-3041-356f-90ba-8993b6125894,http://vocab.getty.edu/ulan/500004460,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Paul%20Laurens%2C%201878.JPG,http://www.wikidata.org/entity/Q708568,NA,NA,NA,http://hdl.handle.net/10020/2012m54_fl4157807,New York October 11 1880,NA,NA
47932,K-4177,4.0,7692,194.0,4.0,NA,NA,NA,NA,Corot,"COROT, JEAN BAPTISTE CAMILLE",French,NA,NA,NA,NA,NA,NA,NA,Le Passeur,NA,NA,Genre,Painting,NA,NA,1894.0,10.0,18.0,1894.0,11.0,7.0,56000.0,francs,NA,NA,NA,NA,13500.0,dollars,NA,NA,NA,NA,Arnold & Tripp Paris,NA,Arnold and Tripp,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sold,B. Altman,City,"Altman, Benjamin","no street address, New York, NY, USA",NA,NA,NA,NA,NA,NA,83.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New York, NY, USA",Metropolitan Museum of Art,14.40.811.,https://data.getty.edu/provenance/ec6bd1ed-4f62-3067-b148-294d0d5016b2,https://data.getty.edu/provenance/6afae568-098d-3340-a348-b9bcaf0b22d1,https://data.getty.edu/provenance/1bb73543-c98e-34f9-8eb8-0d10d1e9d82e,http://vocab.getty.edu/ulan/500313247,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Altman.jpg,http://www.wikidata.org/entity/Q2895984,https://data.getty.edu/provenance/c039f590-90fa-3584-9da1-b6957ac2e5e1,http://vocab.getty.edu/ulan/500115390,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste-Camille%20Corot%20c1850.png,http://www.wikidata.org/entity/Q148475,NA,NA,NA,http://hdl.handle.net/10020/2012m54_fl4155578,New York October 29th 1894,NA,NA
48115,K-4360,4.0,6572,138.0,25.0,NA,NA,NA,NA,Daubigny,"DAUBIGNY, CHARLES FRANÇOIS",French,NA,NA,NA,NA,NA,NA,NA,Andressy,Tollin,NA,Landscape,Painting,NA,NA,1890.0,9.0,12.0,1891.0,2.0,14.0,25000.0,francs,NA,NA,NA,NA,7600.0,dollars,NA,NA,NA,NA,E. LeRoy & Co. Paris,NA,E. LeRoy & Co.,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sold,W.A. Slater,Norwich,"Slater, William Albert","no street address, Norwich, CT, USA",NA,NA,NA,NA,NA,NA,286.0,Tollin,"TOLLIN, FERDINAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rochester, NY, USA","Memorial Art Gallery, University of Rochester",78.7,https://data.getty.edu/provenance/ded7b1ce-82d5-32ed-809f-b9cdb3efe88f,https://data.getty.edu/provenance/fc361a47-64de-3003-8c8a-336ce5d877fb,https://data.getty.edu/provenance/7b7f78e8-096a-3311-a88f-35062ebc7df6,http://vocab.getty.edu/ulan/500063265,http://commons.wikimedia.org/wiki/Special:FilePath/Colorpictureofgeorgeastman.jpg,http://www.wikidata.org/entity/Q189147,https://data.getty.edu/provenance/b10f6bb3-8361-38e9-86e4-73630c74425d,http://vocab.getty.edu/ulan/500115164,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20francois%20daubigny.jpg,http://www.wikidata.org/entity/Q252357,NA,NA,NA,http://hdl.handle.net/10020/2012m54_fl4155522,New York September 29 1890,NA,NA
48135,K-4380,4.0,6592,139.0,1.0,NA,NA,NA,NA,A. Mauve,"MAUVE, ANTON",Dutch,NA,NA,NA,NA,NA,NA,NA,The Cowherd,NA,NA,Genre,Painting,NA,NA,1890.0,10.0,10.0,1892.0,1.0,14.0,1500.0,dollars,NA,NA,NA,NA,2750.0,dollars,NA,NA,NA,NA,Doll & Richards,NA,"Doll and Richards, Inc.","Boston, MA, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sold,B. Altman,City,"Altman, Benjamin","25 Madison Ave., New York, NY, USA",NA,NA,NA,NA,NA,NA,323.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New York, NY, USA",Metropolitan Museum of Art,14.40.810,https://data.getty.edu/provenance/a2a316bb-dd1c-3a74-aa60-58d7fd645fed,https://data.getty.edu/provenance/44ca6ae7-a140-3ff5-b4bd-ea17b508726a,https://data.getty.edu/provenance/1bb73543-c98e-34f9-8eb8-0d10d1e9d82e,http://vocab.getty.edu/ulan/500313247,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Altman.jpg,http://www.wikidata.org/entity/Q2895984,https://data.getty.edu/provenance/dba1a670-7aae-3e5d-9916-78ed94b87350,http://vocab.getty.edu/ulan/500009041,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20de%20kunstschilder%20Anton%20Mauve%2C%20RP-T-1964-242.jpg,http://www.wikidata.org/entity/Q591907,titled Changing Pasture,NA,NA,http://hdl.handle.net/10020/2012m54_fl4155523,New York October 10 1890,NA,NA
48961,K-5206,4.0,6301,133.0,33.0,NA,NA,NA,NA,Claude Monet,"MONET, CLAUDE",French,NA,NA,NA,NA,NA,NA,NA,"[Antibes title info from Sales Book 6, 1885-1892, f.267]",NA,NA,Landscape,Painting,NA,NA,1890.0,4.0,30.0,1890.0,11.0,1.0,3500.0,francs,NA,NA,NA,NA,950.0,dollars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sold,Doll & Richards,Boston,"Doll and Richards, Inc.","no street address, Boston, MA, USA",NA,NA,NA,NA,NA,NA,267.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"London, England, UK",The Courtauld Institute of Art,P.1948.SC.276,https://data.getty.edu/provenance/8cfed9d6-2fcd-364a-b330-e385aa490653,https://data.getty.edu/provenance/5e2dc056-1e83-33c6-b368-90599039e93e,https://data.getty.edu/provenance/8d349a14-2b2d-3198-a24e-39fb3a74ef92,http://vocab.getty.edu/ulan/500434827,,,https://data.getty.edu/provenance/1d44a590-d899-34fe-b866-b2b303d34706,http://vocab.getty.edu/ulan/500019484,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%201899%20Nadar%20crop.jpg,http://www.wikidata.org/entity/Q296,NA,NA,NA,http://hdl.handle.net/10020/2012m54_fl4155517,Stock April 30 1890,NA,NA
50505,K-6750,4.0,7902,204.0,8.0,NA,NA,NA,NA,G. Romney,"ROMNEY, GEORGE",British,NA,NA,NA,NA,NA,NA,NA,Port.t Mary Finch Hatten,NA,NA,Portrait,Painting,NA,NA,1895.0,9.0,12.0,1898.0,2.0,9.0,1400.0,pounds,NA,NA,NA,NA,10000.0,dollars,NA,NA,NA,NA,M. Knoedler & co. Paris,NA,Knoedler's,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sold,H.C. Frick,Pittsburgh,"Frick, Henry Clay","no street address, Pittsburgh, PA, USA",NA,NA,NA,NA,NA,NA,213.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New York, NY, USA",The Frick Collection,1898.1.104,https://data.getty.edu/provenance/e2567f57-b7fb-37bd-95d0-f1e3b2c21641,https://data.getty.edu/provenance/b369c9e2-c51e-3a6e-8ff1-acf9d565872e,https://data.getty.edu/provenance/e95588fc-ee87-3324-88b7-40d39e88402e,http://vocab.getty.edu/ulan/500274405,http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Clay%20Frick.jpg,http://www.wikidata.org/entity/Q93709,https://data.getty.edu/provenance/ed315a67-acfc-3a25-8168-747872616cf2,http://vocab.getty.edu/ulan/500115779,http://commons.wikimedia.org/wiki/Special:FilePath/George%20Romney%20-%20Portrait%20de%20l%27artiste.jpg,http://www.wikidata.org/entity/Q371280,NA,NA,NA,http://hdl.handle.net/10020/2012m54_fl4155588,New York September 17 1895,NA,NA
50561,K-6806,4.0,7958,206.0,43.0,NA,NA,NA,NA,J. Dupré,"DUPRÉ, JULES",French,NA,NA,NA,NA,NA,NA,NA,Route du Crotey,NA,NA,Landscape,Painting,NA,NA,1895.0,10.0,11.0,1896.0,3.0,4.0,NA,NA,NA,NA,NA,NA,3500.0,dollars,NA,NA,NA,NA,E. Le Roy & Co. Paris,NA,E. LeRoy & Co.,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sold,H.C. Frick,Pittsburgh,"Frick, Henry Clay","no street address, Pittsburgh, PA, USA",NA,NA,NA,NA,NA,NA,140.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New York, NY, USA",The Frick Collection,1897.1.36,https://data.getty.edu/provenance/aba83bca-a2c8-3aa0-afb9-a34449ba56b3,https://data.getty.edu/provenance/207dcbf4-8454-3898-a628-fa909ef7aa90,https://data.getty.edu/provenance/a9f524fa-3537-32c4-b63a-72a522040c60,http://vocab.getty.edu/ulan/500443438,,,https://data.getty.edu/provenance/96c0af5b-9607-3a04-a252-6cb1710a798a,http://vocab.getty.edu/ulan/500029859,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Dupr%C3%A9%20autoportrait.jpg,http://www.wikidata.org/entity/Q959212,NA,NA,NA,http://hdl.handle.net/10020/2012m54_fl4155590,New York October 21 1895,NA,NA
50673,K-6918,4.0,8092,213.0,42.0,NA,NA,NA,NA,Mauve,"MAUVE, ANTON",Dutch,NA,NA,NA,NA,NA,NA,NA,"[Early morning ploughing title info from Sales Book 7, 1892-1900, f.160]",NA,NA,Genre,Painting,NA,NA,1896.0,6.0,25.0,1896.0,9.0,12.0,1000.0,dollars,for numbers 8092-8094,NA,NA,NA,1500.0,dollars,NA,NA,NA,NA,Miss S.S. Cochran,NA,"COCHRAN, S.S., MISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sold,H.C. Frick,Pittsburgh,"Frick, Henry Clay","no street address, Pittsburgh, PA, USA",NA,NA,NA,NA,NA,NA,160.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New York, NY, USA",The Frick Collection,1977.1.170,https://data.getty.edu/provenance/e381afc5-b763-319a-87f0-aed7c9b999a7,https://data.getty.edu/provenance/d7a689f4-b73f-336a-a657-d0ca81041279,https://data.getty.edu/provenance/e95588fc-ee87-3324-88b7-40d39e88402e,http://vocab.getty.edu/ulan/500274405,http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Clay%20Frick.jpg,http://www.wikidata.org/entity/Q93709,https://data.getty.edu/provenance/dba1a670-7aae-3e5d-9916-78ed94b87350,http://vocab.getty.edu/ulan/500009041,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20de%20kunstschilder%20Anton%20Mauve%2C%20RP-T-1964-242.jpg,http://www.wikidata.org/entity/Q591907,NA,NA,NA,http://hdl.handle.net/10020/2012m54_fl4155597,New York June 25 1896,NA,NA
50725,K-6970,4.0,8121,215.0,14.0,NA,NA,NA,NA,Daubigny,"DAUBIGNY, CHARLES FRANÇOIS",French,NA,NA,NA,NA,NA,NA,NA,Les Laveuses,NA,NA,Genre,Painting,NA,NA,1896.0,7.0,27.0,1896.0,8.0,20.0,65000.0,francs,NA,NA,NA,NA,15000.0,dollars,NA,NA,NA,NA,Arnold & Tripp Paris,NA,Arnold and Tripp,"Paris, France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sold,H.C. Frick,Pittsburgh,"Frick, Henry Clay","no street address, Pittsburgh, PA, USA",NA,NA,NA,NA,NA,NA,158.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New York, NY, USA",The Frick Collection,1896.1.32,https://data.getty.edu/provenance/43f4aa35-38fd-397a-8276-f9515148b535,https://data.getty.edu/provenance/166e514e-2b50-370f-bb3a-034b191e1281,https://data.getty.edu/provenance/e95588fc-ee87-3324-88b7-40d39e88402e,http://vocab.getty.edu/ulan/500274405,http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Clay%20Frick.jpg,http://www.wikidata.org/entity/Q93709,https://data.getty.edu/provenance/b10f6bb3-8361-38e9-86e4-73630c74425d,http://vocab.getty.edu/ulan/500115164,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20francois%20daubigny.jpg,http://www.wikidata.org/entity/Q252357,NA,NA,NA,http://hdl.handle.net/10020/2012m54_fl4155599,New York August 10 1896,NA,NA
